entity_id,enabled,opening_line,target_duration_seconds,required_fact_ids,optional_fact_ids
tour_01_new_gate,true,"전북대학교에 오신 여러분, 환영합니다.",60,tour_01_new_gate:identity|tour_01_new_gate:architecture|tour_01_new_gate:symbolism|tour_01_new_gate:signage,tour_01_new_gate:completion-year|tour_01_new_gate:night-view
tour_02_international_center,true,이곳은 전북대학교의 국제교류를 담당하는 인터내셔널센터입니다.,60,tour_02_international_center:role|tour_02_international_center:renaming|tour_02_international_center:student-space|tour_02_international_center:sky-lounge,tour_02_international_center:former-name|tour_02_international_center:first-floor-study|tour_02_international_center:outlets|tour_02_international_center:beanbags|tour_02_international_center:between-classes|tour_02_international_center:sky-lounge-tip
tour_03_university_headquarters,true,이곳은 전북대학교의 행정 중심인 대학본부입니다.,70,tour_03_university_headquarters:role|tour_03_university_headquarters:leopard-location|tour_03_university_headquarters:leopard-symbol|tour_03_university_headquarters:leopard-meaning,tour_03_university_headquarters:certificate-service|tour_03_university_headquarters:certificate-tip|tour_03_university_headquarters:leopard-selection|tour_03_university_headquarters:statue-established
tour_04_jinsudang,true,지금 보고 계신 진수당은 다양한 활동이 모이는 복합 공간입니다.,65,tour_04_jinsudang:role|tour_04_jinsudang:restaurant|tour_04_jinsudang:ai-space-location|tour_04_jinsudang:ai-space-role,tour_04_jinsudang:first-floor|tour_04_jinsudang:vision-pro|tour_04_jinsudang:xr-equipment|tour_04_jinsudang:digital-tools
tour_05_engineering_entrance,true,이곳부터 전북대학교 공과대학 권역이 시작됩니다.,65,tour_05_engineering_entrance:role|tour_05_engineering_entrance:wayfinding|tour_05_engineering_entrance:aircraft-history|tour_05_engineering_entrance:aircraft-authenticity,tour_05_engineering_entrance:location|tour_05_engineering_entrance:building-cluster|tour_05_engineering_entrance:aircraft-location|tour_05_engineering_entrance:aircraft-donation|tour_05_engineering_entrance:landmark|tour_05_engineering_entrance:park
tour_06_central_library,true,이곳은 전북대학교의 대표 학습 공간인 중앙도서관입니다.,65,tour_06_central_library:role|tour_06_central_library:remodeling|tour_06_central_library:exam-crowding|tour_06_central_library:outlet-tip,tour_06_central_library:first-floor-tip|tour_06_central_library:terrace|tour_06_central_library:picnic-event
tour_07_geonji_plaza,true,지금 도착한 곳은 캠퍼스 중심부의 건지광장입니다.,55,tour_07_geonji_plaza:role|tour_07_geonji_plaza:wayfinding|tour_07_geonji_plaza:rest,tour_07_geonji_plaza:library-route|tour_07_geonji_plaza:cherry-blossoms
tour_08_stadium_swing,true,이곳은 전북대학교의 대표 야외 공간인 대운동장입니다.,60,tour_08_stadium_swing:role|tour_08_stadium_swing:events|tour_08_stadium_swing:exercise,tour_08_stadium_swing:event-programs|tour_08_stadium_swing:evening-running|tour_08_stadium_swing:free-use
tour_09_basketball_court,true,이곳은 학생들이 자유롭게 이용하는 농구장입니다.,55,tour_09_basketball_court:history|tour_09_basketball_court:remodeling|tour_09_basketball_court:free-use,tour_09_basketball_court:popular-time|tour_09_basketball_court:comparison
tour_10_museum,true,이곳은 전북대학교의 대표 문화공간인 박물관입니다.,60,tour_10_museum:role|tour_10_museum:exhibits|tour_10_museum:public-access,tour_10_museum:study-space|tour_10_museum:green-space|tour_10_museum:pond
tour_11_student_town,true,이곳은 다양한 학생 편의시설이 모여 있는 학생타운입니다.,55,tour_11_student_town:role|tour_11_student_town:facilities|tour_11_student_town:ai-interview,tour_11_student_town:integration|tour_11_student_town:gift-shop
tour_12_old_gate,true,이곳은 전북대생들의 대표적인 약속 장소인 구정문입니다.,50,tour_12_old_gate:meeting-place|tour_12_old_gate:commercial-area|tour_12_old_gate:college-street,tour_12_old_gate:student-expression
docent_art_college_3_workshop,true,예술대학 3호관 앞에는 아는 사람만 아는 작업 공간이 있습니다.,45,docent_art_college_3_workshop:graduate-workspace|docent_art_college_3_workshop:student-artworks,docent_art_college_3_workshop:hidden-place|docent_art_college_3_workshop:kpop|docent_art_college_3_workshop:nostalgic-songs|docent_art_college_3_workshop:listening-tip
