fact_id,entity_id,category,content,importance,verified,source_url
tour_01_new_gate:identity,tour_01_new_gate,identity,전북대학교의 정문이다.,100,true,
tour_01_new_gate:architecture,tour_01_new_gate,architecture,전통 한옥 형태로 설계되었다.,90,true,
tour_01_new_gate:symbolism,tour_01_new_gate,symbolism,‘가장 한국적인 캠퍼스’를 상징하는 공간이다.,90,true,
tour_01_new_gate:completion-year,tour_01_new_gate,history,2019년에 완공되었다.,70,true,
tour_01_new_gate:signage,tour_01_new_gate,story,정문 중앙의 ‘전북대학교’ 글씨는 당시 전북대학교 중문과 김병기 교수가 직접 썼다.,85,true,
tour_01_new_gate:night-view,tour_01_new_gate,experience,신정문은 해가 진 뒤 야간 조명과 어우러진 모습이 아름다워 야경 사진을 찍거나 주변을 산책하며 감상하기 좋다.,50,false,
tour_02_international_center:role,tour_02_international_center,identity,전북대학교의 국제교류와 외국인 학생 지원 업무를 담당한다.,100,true,
tour_02_international_center:former-name,tour_02_international_center,history,과거 명칭은 실크로드센터였다.,75,true,
tour_02_international_center:renaming,tour_02_international_center,history,교내 명칭 공모를 통해 JBNU 인터내셔널센터로 이름을 변경했다.,80,true,
tour_02_international_center:student-space,tour_02_international_center,usage,학생들의 학습과 휴식 공간으로도 이용된다.,85,true,
tour_02_international_center:first-floor-study,tour_02_international_center,facility,1층에 넓은 학습 공간이 있다.,75,true,
tour_02_international_center:outlets,tour_02_international_center,facility,1층 학습 공간에서 콘센트를 이용할 수 있다.,65,true,
tour_02_international_center:beanbags,tour_02_international_center,facility,빈백이 약 6개 비치되어 있다.,45,false,
tour_02_international_center:between-classes,tour_02_international_center,experience,공강 시간에 공부하거나 쉬기 좋은 장소로 활용된다.,55,false,
tour_02_international_center:sky-lounge,tour_02_international_center,hidden-place,4층에 스카이라운지라는 테라스가 있다.,70,true,
tour_02_international_center:sky-lounge-tip,tour_02_international_center,recommendation,스카이라운지는 시설에 비해 잘 알려지지 않은 숨은 장소로 방문해 볼 만하다.,50,false,
tour_03_university_headquarters:role,tour_03_university_headquarters,identity,총장실과 주요 행정부서가 위치한 전북대학교의 행정 중심 건물이다.,100,true,
tour_03_university_headquarters:certificate-service,tour_03_university_headquarters,facility,3층에 무인증명발급서비스가 있다.,75,true,
tour_03_university_headquarters:certificate-tip,tour_03_university_headquarters,recommendation,재학증명서 등의 서류를 무료로 출력할 때 활용하기 좋다.,60,true,
tour_03_university_headquarters:leopard-location,tour_03_university_headquarters,landmark,대학본부 앞에 표범상이 있다.,90,true,
tour_03_university_headquarters:leopard-symbol,tour_03_university_headquarters,symbolism,표범은 전북대학교의 상징동물이다.,95,true,
tour_03_university_headquarters:leopard-selection,tour_03_university_headquarters,history,1981년 약 6천 명의 구성원과 동문을 대상으로 한 설문조사 및 투표를 통해 표범이 상징동물로 선정되었다.,80,true,
tour_03_university_headquarters:leopard-meaning,tour_03_university_headquarters,symbolism,표범의 지혜로움과 용감함 그리고 과감한 전진은 전북대인의 품성과 기상을 상징한다.,85,true,
tour_03_university_headquarters:statue-established,tour_03_university_headquarters,history,개교 30주년인 1982년 5월에 표범상이 건립되었다.,75,true,
tour_04_jinsudang:role,tour_04_jinsudang,identity,강연과 행사 및 세미나 등이 열리는 복합 공간이다.,100,true,
tour_04_jinsudang:restaurant,tour_04_jinsudang,facility,교내식당인 진수원이 위치한다.,85,true,
tour_04_jinsudang:first-floor,tour_04_jinsudang,facility,1층에 편의점과 카페 등의 편의시설이 있다.,80,true,
tour_04_jinsudang:ai-space-location,tour_04_jinsudang,facility,2층에 AI Space가 있다.,90,true,
tour_04_jinsudang:ai-space-role,tour_04_jinsudang,usage,AI Space는 AI와 XR 기술을 체험하고 활용하는 공간이다.,90,true,
tour_04_jinsudang:vision-pro,tour_04_jinsudang,equipment,Apple Vision Pro 3대를 이용할 수 있다.,65,true,
tour_04_jinsudang:xr-equipment,tour_04_jinsudang,equipment,Meta Quest 등의 XR 기기와 바둑 AI 로봇 등 AI 체험 장비가 마련되어 있다.,70,true,
tour_04_jinsudang:digital-tools,tour_04_jinsudang,facility,ChatGPT와 Gemini 및 Adobe 등 다양한 AI·디지털 도구를 활용할 수 있는 환경을 제공한다.,70,true,
