spot_id,name,type,spot_type,nearby_area,campus,description,docent_text,latitude,longitude,coordinate_source,source_url,note
docent_leopard_statue,표범상,도슨트스팟,상징물,대학본부,전주캠퍼스,전북대학교 상징 조형물,혹시 전북대학교의 상징동물이 무엇인지 아시나요? 바로 표범입니다. 전북대학교는 표범을 대학의 상징동물로 사용하고 있으며 1982년에는 대학 본부 앞에 표범상을 설치하고 제막식을 열었습니다.,35.843850,127.130975,user_provided,,
docent_engineering_airplane,공과대학 비행기 전시물,도슨트스팟,전시물,공과대학,전주캠퍼스,공과대학 주변 항공 전시물,실제 한국 전쟁에서 사용된 전투기이다. 공군으로부터 기증받아 전시하고 있다.,35.846304,127.133462,user_provided,,
docent_engineering_park,공대 공원,도슨트스팟,휴식공간,공과대학,전주캠퍼스,공과대학 건물 사이에 위치한 휴식 공간,공과대학 건물 사이에 위치한 휴식 공간으로 잠시 쉬어가거나 다음 장소로 이동하기 좋은 곳이다.,35.846843,127.132566,user_provided,,
docent_club_building,동아리 전용관,도슨트스팟,학생활동공간,동아리 전용관,전주캠퍼스,전북대 학생들의 다양한 동아리 활동이 이루어지는 공간,"전북대 학생들의 다양한 동아리 활동이 이루어지는 공간입니다. 강의실에서 이루어지는 학업뿐 아니라, 학생들이 관심사를 공유하고 사람들과 교류하면서 대학생활을 만들어가는 장소라는 점에서 의미가 있습니다.",35.848565,127.128559,user_provided,,
docent_basketball_court,농구장,도슨트스팟,체육시설,대운동장,전주캠퍼스,학생들이 자유롭게 이용하는 야외 농구장,밤에 다들 사용하는 편이며 공만 가져오면 즐길 수 있습니다.,35.846783,127.127888,user_provided,,
docent_museum_pavilion,박물관 인근 정자,도슨트스팟,휴식공간,박물관,전주캠퍼스,박물관 주변의 풍경을 바라보며 쉬어가기 좋은 정자,"박물관 주변을 걷다 보면 만날 수 있는 휴식 공간입니다. 잠시 앉아 주변의 나무와 풍경을 바라보며 쉬어가기 좋아, 캠퍼스의 여유로운 분위기를 느낄 수 있습니다. 박물관 관람과 함께 둘러보면 전북대의 문화적인 공간과 자연을 함께 경험할 수 있습니다.",35.845585,127.126633,user_provided,,
docent_cultural_center_park,문화회관 공원,도슨트스팟,공원,문화회관,전주캠퍼스,문화회관 주변의 녹지와 휴식 공간,"문화회관 주변의 녹지와 휴식 공간입니다. 캠퍼스 안에서 산책하거나 잠시 머물기 좋은 곳으로, 건물과 자연이 어우러진 전북대 캠퍼스의 모습을 볼 수 있습니다. 계절에 따라 달라지는 나무와 공원의 분위기를 보는 것도 이곳의 매력입니다.",35.842091,127.130892,user_provided,,
docent_humanities_cherry_road,인문대 길,도슨트스팟,산책로,인문대학,전주캠퍼스,벚꽃길로 유명한 인문대학 인근 산책로,"캠퍼스 안에서 벚꽃길로 유명한 곳입니다. 특히 벚꽃이 피는 시기에는 평범한 등굣길이 하나의 풍경이 되면서 전북대의 봄을 느낄 수 있습니다. 학생들에게는 매일 오가는 길이지만 방문객에게는 캠퍼스의 계절감을 보여줄 수 있는 장소입니다.",35.844465,127.132893,user_provided,,
docent_agriculture_cherry_road,농생대 뒤쪽 길,도슨트스팟,산책로,농업생명과학대학,전주캠퍼스,농생대 뒤편의 벚꽃 산책로,"농생대 뒤편으로 이어지는 길 역시 봄철 벚꽃을 감상하며 산책하기 좋은 구간입니다. 비교적 차분하게 걸으면서 벚꽃과 캠퍼스 풍경을 함께 볼 수 있어, 화려한 건물보다는 전북대의 일상적인 아름다움을 보여주기 좋은 장소입니다.",35.848674,127.132545,user_provided,,
docent_shuttle_route1_student_hall,학생회관 측면 제1노선 승강장,도슨트스팟,셔틀버스 승강장,학생회관,전주캠퍼스,제1노선 순환 셔틀 승강장 · 10:33 / 11:03 / 11:33 / 13:03 / 13:33 / 14:03,학생회관 측면에서 제1노선 순환 셔틀버스를 이용할 수 있습니다. 약 30분 간격으로 운행됩니다.,35.845613,127.127985,user_provided,,운행 시간: 10:33 / 11:03 / 11:33 / 13:03 / 13:33 / 14:03
docent_shuttle_route2_student_hall,학생회관 측면 제2노선 승강장,도슨트스팟,셔틀버스 승강장,학생회관,전주캠퍼스,제2노선 왕복 셔틀 승강장 · 10:33 / 11:03 / 11:33 / 13:03 / 13:33 / 14:03 / 15:48,학생회관 측면에서 제2노선 왕복 셔틀버스를 이용할 수 있습니다. 제2노선은 오후 추가 운행이 있어 15시 48분에도 이용할 수 있습니다.,35.845613,127.127985,user_provided,,운행 시간: 10:33 / 11:03 / 11:33 / 13:03 / 13:33 / 14:03 / 15:48
docent_shuttle_route1_jinsudang,진수당 건너편 제1노선 승강장,도슨트스팟,셔틀버스 승강장,진수당,전주캠퍼스,제1노선 순환 셔틀 승강장 · 10:35 / 11:05 / 11:35 / 13:05 / 13:35 / 14:05,진수당 건너편에 위치한 제1노선 승강장입니다. 학생회관 측면 출발 후 약 2분 뒤 도착합니다.,35.845139,127.130597,user_provided,,운행 시간: 10:35 / 11:05 / 11:35 / 13:05 / 13:35 / 14:05
